"地域（2020年基準） コード","地域（2020年基準）","時間軸（年・月） コード","時間軸（年・月）","2020年基準品目 コード","2020年基準品目","/表章項目","指数","前月比・前年比・前年度比【%】","前年同月比【%】"
"00051","近畿地方","2020001212","2020年12月","0001","0001 総合","","99.2","-0.3","-1.2"
"00051","近畿地方","2020001212","2020年12月","0002","0002 食料","","98.7","-0.9","-0.8"
"00051","近畿地方","2020001212","2020年12月","0054","0054 光熱・水道","","96.4","-0.9","-5.7"
"00051","近畿地方","2020000606","2020年6月","0001","0001 総合","","100","-0.3","0.3"
"00051","近畿地方","2020000606","2020年6月","0002","0002 食料","","99.8","-0.5","1.5"
"00051","近畿地方","2020000606","2020年6月","0054","0054 光熱・水道","","100","-1.1","-2.0"
"00053","中国地方","2025001212","2025年12月","0001","0001 総合","","112.8","-0.2","1.9"
"00053","中国地方","2025001212","2025年12月","0002","0002 食料","","129.9","-0.1","5.1"
"00053","中国地方","2025001212","2025年12月","0054","0054 光熱・水道","","114.2","0.2","-2.2"
"00053","中国地方","2025000606","2025年6月","0001","0001 総合","","111.5","-0.2","3.1"
"00053","中国地方","2025000606","2025年6月","0002","0002 食料","","125.6","0.1","7.4"
"00053","中国地方","2025000606","2025年6月","0054","0054 光熱・水道","","116.3","-1.0","2.8"
"00053","中国地方","2024001212","2024年12月","0001","0001 総合","","110.7","0.6","3.7"
"00053","中国地方","2024001212","2024年12月","0002","0002 食料","","123.6","0.8","6.7"
"00053","中国地方","2024001212","2024年12月","0054","0054 光熱・水道","","116.7","4.2","11.5"
"00053","中国地方","2024000606","2024年6月","0001","0001 総合","","108.2","0.1","2.7"
"00053","中国地方","2024000606","2024年6月","0002","0002 食料","","117","-0.3","3.7"
